mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.973038911819458,0.3161898247445785,0.437419335047404,0.12018492996499326,9,sqrt,3,9,288,"{'clf__max_depth': 9, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 9, 'clf__n_estimators': 288}",0.5498078628436299,0.5279560036663611,0.5523012552301255,0.5433550405800388,0.010936239597468781,1
7.406951427459717,0.37413316320985013,0.42266591389973956,0.053292605692877686,23,,2,4,314,"{'clf__max_depth': 23, 'clf__max_features': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 4, 'clf__n_estimators': 314}",0.5335742246311352,0.5372773920917597,0.5340666055606478,0.534972740761181,0.0016419851931104479,11
8.62317188580831,1.6539428196162729,0.4161091645558675,0.041950885038039204,13,,5,5,459,"{'clf__max_depth': 13, 'clf__max_features': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 459}",0.536249251048532,0.5484351713859911,0.543254688445251,0.5426463702932581,0.004993442489789816,4
7.832723140716553,0.9757348840601476,0.4958802064259847,0.1290497865984831,26,,5,3,443,"{'clf__max_depth': 26, 'clf__max_features': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 443}",0.5340156532209512,0.5391095066185319,0.543254688445251,0.5387932827615781,0.0037784424581868126,5
3.018587112426758,0.20084072583495158,0.31094948450724286,0.01641230095128064,14,log2,2,9,376,"{'clf__max_depth': 14, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 9, 'clf__n_estimators': 376}",0.5314389359129383,0.5306495882891126,0.531000613873542,0.5310297126918643,0.0003229060479774886,16
3.5651256243387857,0.9428257878466709,0.38701947530110675,0.11071663610202488,3,log2,5,5,444,"{'clf__max_depth': 3, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 444}",0.5229920294297977,0.5300763358778626,0.5268022181146026,0.5266235278074209,0.0028949147519900004,18
4.674580971399943,0.8280264064746768,0.2615646521250407,0.031556071057367234,19,,3,8,269,"{'clf__max_depth': 19, 'clf__max_features': None, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 8, 'clf__n_estimators': 269}",0.5301059001512859,0.5406381697772427,0.537522879804759,0.5360889832444292,0.004417708333344875,10
2.472196896870931,0.07260949168270013,0.19688789049784342,0.02896713192959806,18,,3,5,154,"{'clf__max_depth': 18, 'clf__max_features': None, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 154}",0.5317220543806647,0.5374848851269649,0.5261216963736939,0.5317762119604411,0.004639160444390897,14
4.282228946685791,0.9170993663384873,0.31545837720235187,0.004110350715440335,22,sqrt,3,6,406,"{'clf__max_depth': 22, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 406}",0.5296610169491526,0.5425149700598803,0.5183343691733996,0.5301701187274775,0.00987825063032713,17
3.080776850382487,0.38448042852433023,0.37354056040445965,0.11942820577021236,9,sqrt,1,8,373,"{'clf__max_depth': 9, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 8, 'clf__n_estimators': 373}",0.5494830132939439,0.5289457647775746,0.5516003589590188,0.5433430456768458,0.010217046577028079,2
2.633392890294393,0.7385857414677509,0.290094534556071,0.01812961721452846,6,sqrt,4,7,341,"{'clf__max_depth': 6, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 7, 'clf__n_estimators': 341}",0.5355421686746988,0.5155860349127181,0.5206169342146679,0.5239150459340283,0.008474273788612728,19
4.496891498565674,0.7357141040793187,0.3989834785461426,0.014744642019001112,28,sqrt,2,6,485,"{'clf__max_depth': 28, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 6, 'clf__n_estimators': 485}",0.5314389359129383,0.5310975609756098,0.5376409631209997,0.5333924866698493,0.0030073574589600497,13
6.242885033289592,0.8887691365140957,0.41434764862060547,0.10976476499980453,22,,4,8,363,"{'clf__max_depth': 22, 'clf__max_features': None, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 8, 'clf__n_estimators': 363}",0.5322872661436331,0.5445840813883902,0.5358559658223986,0.5375757711181407,0.0051653469701056585,9
2.607376495997111,0.4649608233371855,0.17749412854512533,0.013144435463503213,17,,1,5,149,"{'clf__max_depth': 17, 'clf__max_features': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 149}",0.5358535853585359,0.5419548872180451,0.5352283035984275,0.5376789253916695,0.0030343183172223814,8
3.0384178161621094,0.11589822841235814,0.3380391597747803,0.034682919385875734,10,log2,2,5,409,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 409}",0.5465875370919882,0.5343835201454105,0.5478051713770294,0.5429254095381427,0.006060449054389751,3
3.6663445631663003,0.9051963782305094,0.3179372151692708,0.05371043478677235,20,log2,4,3,301,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__n_estimators': 301}",0.5307855626326964,0.5384383479047332,0.5335786568537259,0.5342675224637184,0.003161980653161228,12
1.7583568890889485,0.0279536230553945,0.20164132118225098,0.01293444801289374,6,log2,4,2,289,"{'clf__max_depth': 6, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 289}",0.5344619105199516,0.5105312794718642,0.5221211170379667,0.5223714356765942,0.009771242505623499,20
3.425803025563558,0.025140493010420775,0.3987457752227783,0.020158353777621263,10,sqrt,5,3,466,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 466}",0.5386698766175143,0.5284974093264249,0.5477053140096618,0.5382908666512004,0.007846172612427163,7
3.56943146387736,0.8168224486413502,0.43855873743693036,0.08337951878871987,23,log2,1,5,287,"{'clf__max_depth': 23, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 287}",0.534456816130003,0.5417417417417417,0.5388349514563107,0.5383445031093518,0.0029942099656857617,6
2.8646960258483887,0.5210403018065951,0.3065636952718099,0.02783069639128584,15,sqrt,5,8,400,"{'clf__max_depth': 15, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 8, 'clf__n_estimators': 400}",0.5342960288808665,0.5402160864345739,0.5205992509363296,0.53170378875059,0.008215629024854823,15
