mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9805469512939453,0.04590998213335628,0.14792998631795248,0.06370118216154831,0.6872700594236812,0.2952142919229748,10,288,0.7984250789732434,"{'clf__colsample_bytree': np.float64(0.6872700594236812), 'clf__learning_rate': np.float64(0.2952142919229748), 'clf__max_depth': 10, 'clf__n_estimators': 288, 'clf__subsample': np.float64(0.7984250789732434)}",0.5451306413301663,0.5386940749697703,0.5460526315789473,0.5432924492929613,0.00327325539454213,10
0.9632102648417155,0.23001339419221598,0.10425670941670735,0.03650159322335371,0.7229163764267956,0.039992474745400866,10,199,0.5714334089609704,"{'clf__colsample_bytree': np.float64(0.7229163764267956), 'clf__learning_rate': np.float64(0.039992474745400866), 'clf__max_depth': 10, 'clf__n_estimators': 199, 'clf__subsample': np.float64(0.5714334089609704)}",0.5356928614277144,0.5464907018596281,0.5301499846954393,0.5374445159942606,0.006785080675048772,14
2.1875056425730386,0.19791869255150205,0.2324521541595459,0.08484563225199337,0.8254442364744264,0.02692347370813008,10,393,0.5003893829205072,"{'clf__colsample_bytree': np.float64(0.8254442364744264), 'clf__learning_rate': np.float64(0.02692347370813008), 'clf__max_depth': 10, 'clf__n_estimators': 393, 'clf__subsample': np.float64(0.5003893829205072)}",0.5380256486728303,0.5223008305136881,0.5378764831153027,0.5327343207672737,0.007377843033689314,18
1.0919422308603923,0.17985921676117217,0.12069161732991536,0.010839599286068152,0.9961057796456088,0.19524445288831496,8,352,0.7159725093210578,"{'clf__colsample_bytree': np.float64(0.9961057796456088), 'clf__learning_rate': np.float64(0.19524445288831496), 'clf__max_depth': 8, 'clf__n_estimators': 352, 'clf__subsample': np.float64(0.7159725093210578)}",0.5233758348512447,0.535671100362757,0.536986301369863,0.5320110788612883,0.006129601278877098,19
0.31334924697875977,0.01578118249797003,0.04244144757588705,0.0016647968466143711,0.645614570099021,0.19355586841671385,5,154,0.9916154429033941,"{'clf__colsample_bytree': np.float64(0.645614570099021), 'clf__learning_rate': np.float64(0.19355586841671385), 'clf__max_depth': 5, 'clf__n_estimators': 154, 'clf__subsample': np.float64(0.9916154429033941)}",0.5480427046263345,0.5501770956316411,0.5503714710252601,0.5495304237610786,0.0010549649650813929,6
0.40579970677693683,0.020142742501310835,0.049749135971069336,0.0009571367827959468,0.73338144662399,0.26798212202089616,9,120,0.7252496259847715,"{'clf__colsample_bytree': np.float64(0.73338144662399), 'clf__learning_rate': np.float64(0.26798212202089616), 'clf__max_depth': 9, 'clf__n_estimators': 120, 'clf__subsample': np.float64(0.7252496259847715)}",0.5401021327726044,0.5281754492841912,0.5512093162137952,0.539828966090197,0.0094055204165766,11
0.5401403109232584,0.01724079732483748,0.06113386154174805,0.004728337942394663,0.5066324805799333,0.29266052670545584,4,364,0.5079831261101071,"{'clf__colsample_bytree': np.float64(0.5066324805799333), 'clf__learning_rate': np.float64(0.29266052670545584), 'clf__max_depth': 4, 'clf__n_estimators': 364, 'clf__subsample': np.float64(0.5079831261101071)}",0.557907113462669,0.5557171952283969,0.5376732971669681,0.5504325352860113,0.009066331617658586,5
0.8742785453796387,0.010444313991932285,0.11736234029134114,0.019721677666709507,0.6154469128110744,0.0823076398078035,9,363,0.5171942605576092,"{'clf__colsample_bytree': np.float64(0.6154469128110744), 'clf__learning_rate': np.float64(0.0823076398078035), 'clf__max_depth': 9, 'clf__n_estimators': 363, 'clf__subsample': np.float64(0.5171942605576092)}",0.5528312901342674,0.5372596153846154,0.5427710843373494,0.5442873299520774,0.006446886287212518,8
0.4323389530181885,0.028414568316746273,0.05100003878275553,0.002492213347422084,0.954660201039391,0.08763399448000507,10,101,0.7125779372456224,"{'clf__colsample_bytree': np.float64(0.954660201039391), 'clf__learning_rate': np.float64(0.08763399448000507), 'clf__max_depth': 10, 'clf__n_estimators': 101, 'clf__subsample': np.float64(0.7125779372456224)}",0.5490311215502055,0.5297528227036924,0.5371951219512195,0.5386596887350391,0.007938174370389703,12
0.4758461316426595,0.006104587738718561,0.0557551383972168,0.0014144257441316707,0.6039708314340944,0.18031009834599745,4,317,0.7248770666848828,"{'clf__colsample_bytree': np.float64(0.6039708314340944), 'clf__learning_rate': np.float64(0.18031009834599745), 'clf__max_depth': 4, 'clf__n_estimators': 317, 'clf__subsample': np.float64(0.7248770666848828)}",0.5731601731601732,0.5466467958271237,0.5710178263369753,0.5636082651080908,0.012025417320675606,1
0.8861878712972006,0.01896880360953746,0.10130651791890462,0.0021448390713557936,0.6975751180009072,0.28799765973813823,10,314,0.7604171300129119,"{'clf__colsample_bytree': np.float64(0.6975751180009072), 'clf__learning_rate': np.float64(0.28799765973813823), 'clf__max_depth': 10, 'clf__n_estimators': 314, 'clf__subsample': np.float64(0.7604171300129119)}",0.5430932703659976,0.5323609845031905,0.5351941747572816,0.53688280987549,0.0045412264409582445,15
0.2968076864878337,0.014607808805489116,0.03725822766621908,0.002492055743942287,0.9805860121746746,0.2633601546034454,4,152,0.7933755828319241,"{'clf__colsample_bytree': np.float64(0.9805860121746746), 'clf__learning_rate': np.float64(0.2633601546034454), 'clf__max_depth': 4, 'clf__n_estimators': 152, 'clf__subsample': np.float64(0.7933755828319241)}",0.5456709312704552,0.5480023852116875,0.5522388059701493,0.548637374150764,0.002718658092059707,7
1.1107114156087239,0.1748092521079708,0.1551351547241211,0.06112310500322063,0.982627653632069,0.1921102743060054,11,256,0.9010984903770198,"{'clf__colsample_bytree': np.float64(0.982627653632069), 'clf__learning_rate': np.float64(0.1921102743060054), 'clf__max_depth': 11, 'clf__n_estimators': 256, 'clf__subsample': np.float64(0.9010984903770198)}",0.5358535853585359,0.5476831091180867,0.5303731113166821,0.5379699352644348,0.007223489861293147,13
1.0744099617004395,0.13833519519796075,0.13011757532755533,0.044813846495654536,0.5372753218398854,0.3060660809801552,10,228,0.5993578407670862,"{'clf__colsample_bytree': np.float64(0.5372753218398854), 'clf__learning_rate': np.float64(0.3060660809801552), 'clf__max_depth': 10, 'clf__n_estimators': 228, 'clf__subsample': np.float64(0.5993578407670862)}",0.5259641664136047,0.55004455004455,0.5317848410757946,0.5359311858446497,0.010258666260290511,17
0.9435932636260986,0.35839476493310546,0.1643517812093099,0.06725470659325025,0.5027610585618012,0.25463842853645025,3,262,0.8950877702656028,"{'clf__colsample_bytree': np.float64(0.5027610585618012), 'clf__learning_rate': np.float64(0.25463842853645025), 'clf__max_depth': 3, 'clf__n_estimators': 262, 'clf__subsample': np.float64(0.8950877702656028)}",0.5567809239940388,0.5537459283387622,0.5497319833234068,0.5534196118854026,0.0028869537538522482,2
1.1054940223693848,0.5943289840206082,0.07513213157653809,0.02384908662009266,0.8029799873905057,0.2878902635540047,11,127,0.9315517129377968,"{'clf__colsample_bytree': np.float64(0.8029799873905057), 'clf__learning_rate': np.float64(0.2878902635540047), 'clf__max_depth': 11, 'clf__n_estimators': 127, 'clf__subsample': np.float64(0.9315517129377968)}",0.5509786736780602,0.5455631909172394,0.5349618320610687,0.5438345655521227,0.006652113102147358,9
0.5506539344787598,0.03235857609847978,0.061672210693359375,0.0024604180593793845,0.811649063413779,0.10926940745579475,9,161,0.6625916610133735,"{'clf__colsample_bytree': np.float64(0.811649063413779), 'clf__learning_rate': np.float64(0.10926940745579475), 'clf__max_depth': 9, 'clf__n_estimators': 161, 'clf__subsample': np.float64(0.6625916610133735)}",0.5364396654719236,0.5405731523378582,0.5176908752327747,0.5315678976808521,0.009956580485154793,20
0.5920146306355795,0.02427586580499672,0.0662690798441569,0.0007997452945582667,0.864803089169032,0.20126724140656393,5,326,0.5597971229691509,"{'clf__colsample_bytree': np.float64(0.864803089169032), 'clf__learning_rate': np.float64(0.20126724140656393), 'clf__max_depth': 5, 'clf__n_estimators': 326, 'clf__subsample': np.float64(0.5597971229691509)}",0.5356055995130858,0.5309574146783449,0.5424856365285757,0.5363495502400021,0.004735685221105418,16
1.0443480809529622,0.005951637809819692,0.13748558362325033,0.02817164807806939,0.8566223936114975,0.23823551458506922,9,354,0.6280341613806619,"{'clf__colsample_bytree': np.float64(0.8566223936114975), 'clf__learning_rate': np.float64(0.23823551458506922), 'clf__max_depth': 9, 'clf__n_estimators': 354, 'clf__subsample': np.float64(0.6280341613806619)}",0.5400894187779434,0.5510020939276099,0.5610114672155249,0.550700993307026,0.008544043691130236,4
0.28613440195719403,0.045542789562388594,0.03705883026123047,0.008650480968558708,0.5202167947692157,0.22319886690573623,5,162,0.9478817978367597,"{'clf__colsample_bytree': np.float64(0.5202167947692157), 'clf__learning_rate': np.float64(0.22319886690573623), 'clf__max_depth': 5, 'clf__n_estimators': 162, 'clf__subsample': np.float64(0.9478817978367597)}",0.5573286052009456,0.5447470817120622,0.5567743848206345,0.5529500239112141,0.005804767328065108,3
